None,None,ACCT,324,003,COL,3.000,NULL,Survey of Commercial Law,MWF,10:50 am-11:40 am,245,241,4,Julius David Johnson,01/09-04/24,DMSB 123,
None,None,ACCT,324,004,COL,3.000,NULL,Survey of Commercial Law,MW,02:20 pm-03:35 pm,65,68,-3,Justin Scott Byars,01/09-04/24,GAMBRL 152,
None,None,ACCT,324,4A,LAN,3.000,NULL,Survey of Commercial Law,MW,08:00 am-09:15 am,25,25,0,David Reese Blackwell,01/09-04/24,BRAD 107,
None,None,ACCT,324,4J,LAN,3.000,NULL,Survey of Commercial Law,TR,08:00 am-09:15 am,25,23,2,Randy Eugene Newman,01/09-04/24,BRAD 107,
None,None,ACCT,324,H01,COL,3.000,NULL,HNRS: Survey of Commercial Law,TR,10:05 am-11:20 am,25,25,0,Thomas Mazyck Hughes,01/09-04/24,DMSB 122,SC Honors College
None,None,ACCT,324,H02,COL,3.000,NULL,HNRS: Survey of Commercial Law,TR,11:40 am-12:55 pm,26,26,0,Thomas Mazyck Hughes,01/09-04/24,DMSB 122,SC Honors College
None,None,ACCT,324,P11,COL,3.000,NULL,Survey of Commercial Law,,None,6,2,4,Jeffrey Irwin,03/13-05/03,3WEB 1,Regional Palmetto
None,None,ACCT,324,P12,COL,3.000,NULL,Survey of Commercial Law,,None,3,3,0,Jeffrey Irwin,03/13-05/03,3WEB 1,Regional Palmetto
None,None,ACCT,324,P13,COL,3.000,NULL,Survey of Commercial Law,,None,3,4,-1,Jeffrey Irwin,03/13-05/03,3WEB 1,Regional Palmetto
None,None,ACCT,324,P14,COL,3.000,NULL,Survey of Commercial Law,,None,6,0,6,None,03/13-05/03,3WEB 1,Regional Palmetto
None,None,ACCT,324,P15,COL,3.000,NULL,Survey of Commercial Law,,None,3,1,2,Jeffrey Irwin,03/13-05/03,3WEB 1,Regional Palmetto
None,None,ACCT,324,P16,COL,3.000,NULL,Survey of Commercial Law,,None,3,3,0,Jeffrey Irwin,03/13-05/03,3WEB 1,Regional Palmetto
None,None,ACCT,324,P19,COL,3.000,NULL,Survey of Commercial Law,,None,6,5,1,Jeffrey Irwin,03/13-05/03,3WEB 1,Regional Palmetto
None,None,ACCT,401,002,COL,3.000,NULL,Financial Accounting I,MW,02:20 pm-03:35 pm,44,41,3,Barbara Pierce,01/09-04/24,DMSB 103,
None,None,ACCT,401,003,COL,3.000,NULL,Financial Accounting I,MW,03:55 pm-05:10 pm,44,20,24,Barbara Pierce,01/09-04/24,DMSB 103,
None,None,ACCT,402,001,COL,3.000,NULL,Cost/Managerial Accounting,TR,08:30 am-09:45 am,44,42,2,Marlys Gascho Lipe,01/09-04/24,DMSB 124,
None,None,ACCT,402,002,COL,3.000,NULL,Cost/Managerial Accounting,MWF,09:40 am-10:30 am,44,29,15,Brent Steven Daulton,01/09-04/24,DMSB 133,
None,None,ACCT,403,001,COL,3.000,NULL,Tax I,TR,01:15 pm-02:30 pm,30,24,6,Chelsea Rae Austin,01/09-04/24,DMSB 122,
None,None,ACCT,403,002,COL,3.000,NULL,Tax I,TR,02:50 pm-04:05 pm,44,19,25,Chelsea Rae Austin,01/09-04/24,DMSB 124,
None,None,ACCT,404,002,COL,3.000,NULL,Accounting Information Systems I,TR,10:05 am-11:20 am,44,35,9,Timothy Lee Baker,01/09-04/24,DMSB 140,
None,None,ACCT,404,003,COL,3.000,NULL,Accounting Information Systems I,TR,11:40 am-12:55 pm,44,40,4,Timothy Lee Baker,01/09-04/24,DMSB 140,
None,None,ACCT,405,001,COL,3.000,NULL,Financial Accounting II,TR,10:05 am-11:20 am,44,27,17,Natalia Monakhova Scott,01/09-04/24,DMSB 124,
None,None,ACCT,405,002,COL,3.000,NULL,Financial Accounting II,TR,01:15 pm-02:30 pm,44,41,3,Natalia Monakhova Scott,01/09-04/24,DMSB 124,
