SUBJECT,COURSE_NUMBER,COURSE_SECTION_NUMBER,TITLE,CAMPUS,AUDIT,A,A_GF,B,B_GF,B+,B+_GF,C,C_GF,C+,C+_GF,D,D_GF,D+,D+_GF,F,F_GF,FN,Incomplete,IP,No Grade,NR,S,T,U,UN,W,WF,Num Grades Posted
MATH,A122,004,Survey of Calculus with Apps,AIK,0,0,0,9,0,2,0,5,0,3,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,1,30
MATH,A141,001,Calculus I,AIK,0,2,0,5,0,4,0,2,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,21
MATH,A141,300,Calculus I,AIK,0,24,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
MATH,A142,001,Calculus II,AIK,0,2,0,1,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,16
MATH,A142,002,Calculus II,AIK,0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14
MATH,A170,001,Finite Mathematics,AIK,0,27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31
MATH,A170,002,Finite Mathematics,AIK,0,26,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,31
MATH,A170,PC,Finite Mathematics,AIK,0,3,0,3,0,2,0,5,0,2,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,26
MATH,A174,001,Discrete Math for Computer Sci,AIK,0,9,0,2,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18
MATH,A241,001,Calculus III,AIK,0,7,0,5,0,3,0,3,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23
MATH,A241,002,Calculus III,AIK,0,3,0,1,0,3,0,3,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19
MATH,A242,300,Ordinary Differentl Equations,AIK,0,9,0,2,0,1,0,4,0,4,0,5,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,35
MGMT,A374,300,Human Resources Management,AIK,0,13,0,7,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
MGMT,A374,PC,Human Resources Management,AIK,0,17,0,5,0,4,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33
MGMT,A376,001,Organization Behavior,AIK,0,16,0,6,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28
MGMT,A376,PC,Organization Behavior,AIK,0,10,0,6,0,3,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
MGMT,A442,PC,e-Business Management,AIK,0,4,0,8,0,4,0,6,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
